type,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
        Gasoline and other energy goods,6.099,5.9,5.244,5.119,5.009,5.283,5.238,5.378,5.486,5.388,5.202,5.208,5.449,5.771,5.973,6.1,6.091,6.331,7.115,8.1,8.219,8.311,8.542,8.697,9.029,9.176,9.273,9.563,10.003,9.892,10.031,10.209,10.221,10.273,10.299,10.203,10.551,10.802,11.154,11.358,11.706,11.871,12.064,12.208,13.481,18.748,20.065,21.025,22.526,23.563,31.739,44.134,49.78,47.467,45.633,45.16,45.258,35.531,36.844,37.119,40.409,46.274,45.499,45.153,44.71,44.82,45.42,48.514,48.513,42.299,45.782,59.188,57.148,53.482,62.505,73.441,89.95,101.576,110.004,129.615,94.565,111.495,140.252,144.984,141.11,136.079,99.997,88.641,100,113.506,109.591,93.09,123.959,163.952
        Other nondurable goods,9.281,8.953,8.529,8.057,7.654,7.847,7.838,7.8,8.076,7.945,7.869,8.013,8.261,9.029,9.639,10.198,10.546,11.033,12.553,13.251,12.962,13.019,13.867,13.92,14.127,14.165,14.312,14.556,15.023,15.386,15.636,15.879,15.918,15.97,16.191,16.432,16.66,16.992,17.409,18.075,18.744,19.619,20.37,20.877,21.446,23.557,26.262,27.621,29.221,30.811,32.825,35.823,38.86,41.867,44.751,46.409,48.205,50.125,52.143,54.477,57.487,60.396,63.613,66.008,67.121,67.591,68.788,70.09,70.825,72.16,74.986,76.627,78.402,79.833,80.051,81.003,82.238,83.99,85.193,87.236,91.129,92.789,94.194,95.611,95.734,96.779,97.838,98.964,100,100.49,100.935,101.877,102.77,107.623
Services,6.068,5.894,5.479,4.95,4.639,4.58,4.68,4.756,4.933,4.938,4.924,4.963,5.139,5.501,5.845,6.113,6.313,6.696,7.184,7.563,7.691,7.888,8.276,8.579,8.909,9.133,9.288,9.508,9.786,10.028,10.297,10.571,10.759,10.963,11.138,11.342,11.553,11.886,12.28,12.815,13.476,14.223,14.999,15.634,16.389,17.778,19.302,20.641,22.203,23.91,25.915,28.61,31.541,34.017,36.106,37.985,39.843,41.48,42.726,44.769,46.88,49.029,50.946,52.758,54.582,56.066,57.632,59.214,60.883,62.172,63.409,65.21,67.292,69.033,71.336,73.528,75.998,78.75,81.388,83.783,84.432,86.077,87.742,89.648,91.659,93.795,95.462,97.629,100,102.626,104.972,107.054,111.103,117.066
    Household consumption expenditures (for services),5.806,5.643,5.249,4.736,4.434,4.364,4.463,4.534,4.699,4.709,4.695,4.734,4.899,5.242,5.568,5.824,6.014,6.37,6.815,7.168,7.292,7.475,7.835,8.13,8.448,8.661,8.805,9.007,9.267,9.495,9.753,10.044,10.226,10.421,10.587,10.787,10.984,11.298,11.673,12.184,12.808,13.522,14.259,14.863,15.573,16.862,18.305,19.585,21.072,22.699,24.593,27.16,29.99,32.482,34.632,36.546,38.421,40.092,41.361,43.42,45.635,47.935,50.006,52.013,53.974,55.495,57.1,58.686,60.314,61.501,62.691,64.411,66.431,68.209,70.694,72.992,75.479,78.282,80.976,83.437,84.225,85.993,87.688,89.667,91.736,93.894,95.492,97.632,100,102.685,105.015,107.159,111.009,116.673
        Housing and utilities,9.694,9.436,8.946,8.11,7.37,6.808,6.83,6.942,7.2,7.382,7.366,7.386,7.485,7.644,7.684,7.743,7.824,7.955,8.21,8.649,8.899,9.169,9.522,9.89,10.339,10.621,10.784,10.947,11.142,11.356,11.539,11.757,11.914,12.042,12.17,12.278,12.383,12.554,12.77,13.062,13.481,14.067,14.788,15.348,16.037,16.924,18.255,19.576,21.311,22.815,24.66,27.242,30.247,33.036,35.173,36.963,38.91,40.761,42.227,43.899,45.667,47.651,49.232,50.607,52.069,53.413,54.858,56.48,58.019,59.386,60.806,62.945,65.853,67.732,69.865,71.829,74.365,77.499,80.202,83.021,83.958,84.15,85.345,86.888,89.01,91.652,93.984,96.679,100,103.114,106.249,109.043,112.278,119.777
        Health care,2.318,2.324,2.161,1.904,1.876,1.945,2.057,2.1,2.156,2.2,2.184,2.253,2.309,2.457,2.652,2.848,2.975,3.228,3.576,3.778,3.83,3.912,4.091,4.292,4.496,4.652,4.815,4.987,5.194,5.395,5.55,5.923,6.056,6.21,6.386,6.603,6.809,7.112,7.565,8.042,8.609,9.26,9.737,10.15,10.63,11.639,12.948,14.196,15.38,16.678,18.303,20.519,23.025,25.617,27.96,30.053,31.876,33.771,35.943,38.745,42.152,45.749,49.284,52.749,55.568,57.826,59.935,61.346,62.575,63.755,65.154,66.989,69.236,71.015,73.712,76.444,78.874,81.27,84.278,86.553,88.909,91.152,92.818,94.485,95.793,96.878,97.427,98.556,100,101.865,103.663,106.284,109.367,111.994
        Transportation services,7.027,6.971,6.619,6.108,5.759,5.872,6.002,5.968,5.934,5.977,6,5.893,6.001,6.366,6.509,6.473,6.557,6.778,7.283,7.812,8.349,8.724,9.347,9.696,10.149,10.491,10.741,11.106,11.518,11.847,12.195,12.468,12.831,13.108,13.164,13.338,13.568,13.815,14.331,14.977,15.899,17.128,18.331,19.029,19.87,21.573,23.958,25.745,27.532,29.354,31.964,37.102,41.615,43.92,45.586,47.386,48.321,48.805,50.873,53.251,55.592,57.717,59.301,60.986,63.115,63.805,65.21,65.864,67.413,68.564,69.49,71.625,72.03,71.917,73.442,74.378,77.135,80.396,82.151,86.773,88.849,90.885,93.727,95.557,96.511,97.768,97.978,98.801,100,102.087,104.142,102.904,107.691,119.975
        Recreation services,5.954,5.843,5.582,5.314,5.011,5.048,5.121,5.22,5.411,5.511,5.462,5.51,5.709,6.012,6.456,7.251,7.611,8.104,8.73,9.048,9.21,9.284,9.593,9.942,10.397,10.849,11.211,11.545,11.972,12.424,12.722,13.194,13.559,13.882,14.183,14.579,14.876,15.268,15.802,16.648,17.356,18.156,18.955,19.441,20.131,21.527,23.114,24.259,25.419,26.939,28.718,30.889,32.858,34.643,36.147,37.709,39.337,40.857,42.441,44.069,46.26,48.786,51.322,52.915,54.61,55.776,57.005,58.904,60.809,62.314,64.316,66.804,68.991,70.979,73.157,75.084,77.197,79.804,82.03,84.568,85.527,86.417,87.892,90.318,91.856,93.531,95.026,97.304,100,102.144,104.204,106.405,109.671,115.469
        Food services and accommodations,5.237,4.915,4.24,3.58,3.462,3.726,4.006,4.013,4.155,3.961,3.88,3.926,4.28,5.002,5.613,5.853,6.049,6.728,7.51,7.852,7.641,7.776,8.36,8.547,8.473,8.568,8.549,8.646,8.931,9.158,9.485,9.741,9.937,10.184,10.404,10.566,10.774,11.19,11.811,12.427,13.171,14.144,14.899,15.45,16.506,18.415,20.074,21.403,22.952,24.959,27.653,30.332,33.041,34.931,36.439,38.082,39.72,41.348,43.018,44.868,46.9,49.047,51.005,52.088,53.11,54.042,55.317,56.808,58.493,60.061,61.614,63.338,65.146,66.721,68.136,70.402,72.665,75.121,78.038,81.077,82.889,84.034,86.177,88.631,90.495,92.891,95.467,97.949,100,102.315,105.177,107.231,113.137,121.952
        Financial services and insurance,5.005,4.89,4.446,3.957,3.775,3.909,4.077,4.261,4.448,4.342,4.31,4.432,4.549,4.859,5.08,5.291,5.491,6.066,6.317,6.649,6.763,6.883,6.961,7.388,8.204,8.497,8.723,8.973,9.281,9.448,9.978,10.418,10.743,11.18,11.269,11.701,11.987,12.692,12.966,13.991,15.177,15.934,16.886,17.905,18.282,19.728,21.117,21.953,23.706,26.683,28.178,30.481,32.897,35.013,38.124,40.532,43.687,44.405,42.369,44.513,46.203,47.203,47.271,49.034,51.671,52.716,54.076,56.105,58.49,58.689,58.146,58.842,59.205,60.621,64.482,67.216,69.746,72.713,75.249,74.883,70.087,74.817,77.009,79.884,83.96,88.327,90.985,95.188,100,105.358,108.049,109.381,116.616,121.436
